Date,Open,High,Low,Close,Volume,Adj Close
2017-03-08,25.99,26.10,25.77,26.01,63400,26.01
2017-03-07,25.700001,25.879999,25.549999,25.84,45600,25.84
2017-03-06,25.68,25.889999,25.440001,25.83,42600,25.83
2017-03-03,25.780001,26.07,25.459999,25.780001,70400,25.780001
2017-03-02,25.83,25.92,25.66,25.77,40800,25.77
2017-03-01,26.01,26.379999,25.860001,25.90,55900,25.90
2017-02-28,26.42,26.42,25.57,25.77,124000,25.77
2017-02-27,26.52,26.59,26.299999,26.41,134900,26.41
2017-02-24,26.540001,26.790001,26.540001,26.549999,70200,26.549999
2017-02-23,27.129999,27.200001,26.639999,26.76,43400,26.76
2017-02-22,27.15,27.41,26.83,26.99,27200,26.99
2017-02-21,26.65,27.299999,26.65,27.26,79000,27.26
2017-02-17,26.60,26.799999,26.50,26.52,68800,26.52
2017-02-16,26.360001,27.98,26.360001,26.82,401400,26.82
2017-02-15,27.40,27.82,27.26,27.67,161000,27.67
2017-02-14,26.65,28.280001,26.65,27.50,333800,27.50
2017-02-13,26.799999,26.950001,26.26,26.60,87200,26.60
2017-02-10,26.540001,26.790001,26.360001,26.60,43900,26.60
2017-02-09,26.41,26.629999,26.290001,26.360001,48600,26.360001
